NM,words
정감있는,"['전통있는', '정겨운', '옛날의', '한국감성', '집밥감성', '신선한', '정감있는']"
시끌벅적한,"['활기찬', '중국감성', '오래된', '한국감성', '이탈리아감성', '숨은', '시끌벅적한']"
한국감성,"['옛날의', '오래된', '중국감성', '동남아감성', '정감있는', '시끌벅적한', '한국감성']"
친절한,"['쾌적한', '심플한', '즐거운', '깔끔한', '편한', '색다른', '친절한']"
일본감성,"['깔끔한', '따뜻한', '아담한', '아늑한', '심플한', '뷰가좋은', '일본감성']"
특색있는,"['인스타감성', '감각적인', '주택개조', '독특한', '인테리어예쁜', '힐링', '특색있는']"
인테리어예쁜,"['힐링', '주택개조', '분위기좋은', '아늑한', '뷰가좋은', '인스타감성', '인테리어예쁜']"
분위기좋은,"['엔틱한', '고급스러운', '힐링', '주택개조', '아늑한', '인테리어예쁜', '분위기좋은']"
쾌적한,"['즐거운', '편한', '친절한', '색다른', '엔틱한', '심플한', '쾌적한']"
웨이팅,"['나들이', '따뜻한', '아담한', '포근한', '도란도란', '아늑한', '웨이팅']"
따뜻한,"['아담한', '일본감성', '아늑한', '도란도란', '웨이팅', '깔끔한', '따뜻한']"
깔끔한,"['심플한', '일본감성', '친절한', '뷰가좋은', '사랑스러운', '따뜻한', '깔끔한']"
소소한,"['개방적인', '정갈한', '우드톤', '집밥감성', '도란도란', '깔끔한', '소소한']"
정갈한,"['개방적인', '집밥감성', '소소한', '도란도란', '깔끔한', '심플한', '정갈한']"
고급스러운,"['비쥬얼좋은', '분위기좋은', '아늑한', '감각적인', '주택개조', '숨은', '고급스러운']"
세련된,"['비쥬얼좋은', '감각적인', '힙한', '트렌디한', '음악이있는', '독특한', '세련된']"
트렌디한,"['힙한', '세련된', '음악이있는', '비쥬얼좋은', '레트로감성', '고급스러운', '트렌디한']"
동남아감성,"['숨은', '중국감성', '도란도란', '한국감성', '따뜻한', '깔끔한', '동남아감성']"
힙한,"['음악이있는', '트렌디한', '세련된', '레트로감성', '어두운', '비쥬얼좋은', '힙한']"
모던한,"['감각적인', '주택개조', '비쥬얼좋은', '조용한', '분위기좋은', '세련된', '모던한']"
독특한,"['감각적인', '특색있는', '세련된', '인스타감성', '비쥬얼좋은', '모던한', '독특한']"
감각적인,"['모던한', '비쥬얼좋은', '세련된', '고급스러운', '독특한', '주택개조', '감각적인']"
